country;Year;Population
Paraguay;2023;6861524
Paraguay;2022;6780744
Paraguay;2020;6618695
Paraguay;2015;6177950
Paraguay;2010;5768613
Paraguay;2000;5123819
Paraguay;1990;4059195
Peru;2023;34352719
Peru;2022;34049588
Peru;2020;33304756
Peru;2015;30711863
Peru;2010;29229572
Peru;2000;26654439
Peru;1990;22109099
Philippines;2023;117337368
Philippines;2022;115559009
Philippines;2020;112190977
Philippines;2015;103031365
Philippines;2010;94636700
Philippines;2000;77958223
Philippines;1990;61558898
Poland;2023;41026067
Poland;2022;39857145
Poland;2020;38428366
Poland;2015;38553146
Poland;2010;38597353
Poland;2000;38504431
Poland;1990;38064255
Portugal;2023;10247605
Portugal;2022;10270865
Portugal;2020;10298192
Portugal;2015;10365435
Portugal;2010;10588401
Portugal;2000;10300626
Portugal;1990;10007346
Puerto Rico;2023;3260314
Puerto Rico;2022;3252407
Puerto Rico;2020;3271564
Puerto Rico;2015;3497335
Puerto Rico;2010;3717922
Puerto Rico;2000;3827108
Puerto Rico;1990;3543776
Qatar;2023;2716391
Qatar;2022;2695122
Qatar;2020;2760385
Qatar;2015;2414573
Qatar;2010;1713504
Qatar;2000;645937
Qatar;1990;441675
Republic of the Congo;2023;6106869
Republic of the Congo;2022;5970424
Republic of the Congo;2020;5702174
Republic of the Congo;2015;5064386
Republic of the Congo;2010;4437884
Republic of the Congo;2000;3134030
Republic of the Congo;1990;2385435
Reunion;2023;981796
Reunion;2022;974052
Reunion;2020;957822
Reunion;2015;922495
Reunion;2010;890130
Reunion;2000;785424
Reunion;1990;658992
Romania;2023;19892812
Romania;2022;19659267
Romania;2020;19442038
Romania;2015;19906079
Romania;2010;20335211
Romania;2000;21919876
Romania;1990;22836234
Russia;2023;144444359
Russia;2022;144713314
Russia;2020;145617329
Russia;2015;144668389
Russia;2010;143242599
Russia;2000;146844839
Russia;1990;148005704
Rwanda;2023;14094683
Rwanda;2022;13776698
Rwanda;2020;13146362
Rwanda;2015;11642959
Rwanda;2010;10309031
Rwanda;2000;8109989
Rwanda;1990;7319962
Saint Barthelemy;2023;10994
Saint Barthelemy;2022;10967
Saint Barthelemy;2020;10681
Saint Barthelemy;2015;9643
Saint Barthelemy;2010;8988
Saint Barthelemy;2000;7082
Saint Barthelemy;1990;5168
Saint Kitts and Nevis;2023;47755
Saint Kitts and Nevis;2022;47657
Saint Kitts and Nevis;2020;47642
Saint Kitts and Nevis;2015;47790
Saint Kitts and Nevis;2010;47403
Saint Kitts and Nevis;2000;45461
Saint Kitts and Nevis;1990;40636
Saint Lucia;2023;180251
Saint Lucia;2022;179857
Saint Lucia;2020;179237
Saint Lucia;2015;175623
Saint Lucia;2010;170935
Saint Lucia;2000;159500
Saint Lucia;1990;142301
Saint Martin;2023;32077
Saint Martin;2022;31791
Saint Martin;2020;32552
Saint Martin;2015;35020
Saint Martin;2010;36458
Saint Martin;2000;29610
Saint Martin;1990;28127
Saint Pierre and Miquelon;2023;5840
Saint Pierre and Miquelon;2022;5862
Saint Pierre and Miquelon;2020;5906
Saint Pierre and Miquelon;2015;5978
Saint Pierre and Miquelon;2010;6052
Saint Pierre and Miquelon;2000;6274
Saint Pierre and Miquelon;1990;6324
Saint Vincent and the Grenadines;2023;103698
Saint Vincent and the Grenadines;2022;103948
Saint Vincent and the Grenadines;2020;104632
Saint Vincent and the Grenadines;2015;106482
Saint Vincent and the Grenadines;2010;109308
Saint Vincent and the Grenadines;2000;113813
Saint Vincent and the Grenadines;1990;112487
Samoa;2023;225681
Samoa;2022;222382
Samoa;2020;214929
Samoa;2015;203571
Samoa;2010;194672
Samoa;2000;184008
Samoa;1990;168186
San Marino;2023;33642
San Marino;2022;33660
San Marino;2020;34007
San Marino;2015;33570
San Marino;2010;31608
San Marino;2000;26823
San Marino;1990;23132
Sao Tome and Principe;2023;231856
Sao Tome and Principe;2022;227380
Sao Tome and Principe;2020;218641
Sao Tome and Principe;2015;201124
Sao Tome and Principe;2010;182138
Sao Tome and Principe;2000;143714
Sao Tome and Principe;1990;120343
Saudi Arabia;2023;36947025
Saudi Arabia;2022;36408820
Saudi Arabia;2020;35997107
Saudi Arabia;2015;32749848
Saudi Arabia;2010;29411929
Saudi Arabia;2000;21547390
Saudi Arabia;1990;16004763
Senegal;2023;17763163
Senegal;2022;17316449
Senegal;2020;16436119
Senegal;2015;14356181
Senegal;2010;12530121
Senegal;2000;9704287
Senegal;1990;7536001
Serbia;2023;7149077
Serbia;2022;7221365
Serbia;2020;7358005
Serbia;2015;7519496
Serbia;2010;7653748
Serbia;2000;7935022
Serbia;1990;7987529
Seychelles;2023;107660
Seychelles;2022;107118
Seychelles;2020;105530
Seychelles;2015;99240
Seychelles;2010;92409
Seychelles;2000;80060
Seychelles;1990;71057
Sierra Leone;2023;8791092
Sierra Leone;2022;8605718
Sierra Leone;2020;8233969
Sierra Leone;2015;7314773
Sierra Leone;2010;6436698
Sierra Leone;2000;4584067
Sierra Leone;1990;4325388
Singapore;2023;6014723
Singapore;2022;5975689
Singapore;2020;5909869
Singapore;2015;5650018
Singapore;2010;5163590
Singapore;2000;4053602
Singapore;1990;3022209
Sint Maarten;2023;44222
Sint Maarten;2022;44175
Sint Maarten;2020;43621
Sint Maarten;2015;40205
Sint Maarten;2010;33034
Sint Maarten;2000;30489
Sint Maarten;1990;27845
Slovakia;2023;5795199
Slovakia;2022;5643453
Slovakia;2020;5456681
Slovakia;2015;5424444
Slovakia;2010;5396424
Slovakia;2000;5376690
Slovakia;1990;5261305
Slovenia;2023;2119675
Slovenia;2022;2119844
Slovenia;2020;2117641
Slovenia;2015;2080862
Slovenia;2010;2057287
Slovenia;2000;1984339
Slovenia;1990;1986024
Solomon Islands;2023;740424
Solomon Islands;2022;724273
Solomon Islands;2020;691191
Solomon Islands;2015;612660
Solomon Islands;2010;540394
Solomon Islands;2000;429978
Solomon Islands;1990;324171
Somalia;2023;18143378
Somalia;2022;17597511
Somalia;2020;16537016
Somalia;2015;13763906
Somalia;2010;12026649
Somalia;2000;8721465
Somalia;1990;6999096
South Africa;2023;60414495
South Africa;2022;59893885
South Africa;2020;58801927
South Africa;2015;55876504
South Africa;2010;51784921
South Africa;2000;46813266
South Africa;1990;39877570
South Korea;2023;51784059
South Korea;2022;51815810
South Korea;2020;51844690
South Korea;2015;50994401
South Korea;2010;48813042
South Korea;2000;46788591
South Korea;1990;44120039
South Sudan;2023;11088796
South Sudan;2022;10913164
South Sudan;2020;10606227
South Sudan;2015;11194299
South Sudan;2010;9714419
South Sudan;2000;6114440
South Sudan;1990;4750817
Spain;2023;47519628
Spain;2022;47558630
Spain;2020;47363807
Spain;2015;46431342
Spain;2010;46572772
Spain;2000;40741651
Spain;1990;38889889
Sri Lanka;2023;21893579
Sri Lanka;2022;21832143
Sri Lanka;2020;21715079
Sri Lanka;2015;21336697
Sri Lanka;2010;20668557
Sri Lanka;2000;18776371
Sri Lanka;1990;17204094
Sudan;2023;48109006
Sudan;2022;46874204
Sudan;2020;44440486
Sudan;2015;38171178
Sudan;2010;33739933
Sudan;2000;26298773
Sudan;1990;21090886
Suriname;2023;623236
Suriname;2022;618040
Suriname;2020;607065
Suriname;2015;575475
Suriname;2010;546080
Suriname;2000;478998
Suriname;1990;412756
Sweden;2023;10612086
Sweden;2022;10549347
Sweden;2020;10368969
Sweden;2015;9849349
Sweden;2010;9381729
Sweden;2000;8871043
Sweden;1990;8548406
Switzerland;2023;8796669
Switzerland;2022;8740472
Switzerland;2020;8638613
Switzerland;2015;8281732
Switzerland;2010;7822435
Switzerland;2000;7182059
Switzerland;1990;6711693
Syria;2023;23227014
Syria;2022;22125249
Syria;2020;20772595
Syria;2015;19205178
Syria;2010;22337563
Syria;2000;16307654
Syria;1990;12408996
Taiwan;2023;23923276
Taiwan;2022;23893394
Taiwan;2020;23821464
Taiwan;2015;23512136
Taiwan;2010;23083083
Taiwan;2000;22194731
Taiwan;1990;20586174
Tajikistan;2023;10143543
Tajikistan;2022;9952787
Tajikistan;2020;9543207
Tajikistan;2015;8524063
Tajikistan;2010;7621779
Tajikistan;2000;6272998
Tajikistan;1990;5417860
Tanzania;2023;67438106
Tanzania;2022;65497748
Tanzania;2020;61704518
Tanzania;2015;52542823
Tanzania;2010;45110527
Tanzania;2000;34463704
Tanzania;1990;26206012
Thailand;2023;71801279
Thailand;2022;71697030
Thailand;2020;71475664
Thailand;2015;70294397
Thailand;2010;68270489
Thailand;2000;63066603
Thailand;1990;55228410
Timor-Leste;2023;1360596
Timor-Leste;2022;1341296
Timor-Leste;2020;1299995
Timor-Leste;2015;1205813
Timor-Leste;2010;1088486
Timor-Leste;2000;878360
Timor-Leste;1990;758106
Togo;2023;9053799
Togo;2022;8848699
Togo;2020;8442580
Togo;2015;7473229
Togo;2010;6571855
Togo;2000;5008035
Togo;1990;3875947
Tokelau;2023;1893
Tokelau;2022;1871
Tokelau;2020;1827
Tokelau;2015;1454
Tokelau;2010;1367
Tokelau;2000;1666
Tokelau;1990;1669
Tonga;2023;107773
Tonga;2022;106858
Tonga;2020;105254
Tonga;2015;106122
Tonga;2010;107383
Tonga;2000;102603
Tonga;1990;98727
Trinidad and Tobago;2023;1534937
Trinidad and Tobago;2022;1531044
Trinidad and Tobago;2020;1518147
Trinidad and Tobago;2015;1460177
Trinidad and Tobago;2010;1410296
Trinidad and Tobago;2000;1332203
Trinidad and Tobago;1990;1266518
Tunisia;2023;12458223
Tunisia;2022;12356117
Tunisia;2020;12161723
Tunisia;2015;11557779
Tunisia;2010;10895063
Tunisia;2000;9893316
Tunisia;1990;8440023
Turkiye;2023;85816199
Turkiye;2022;85341241
Turkiye;2020;84135428
Turkiye;2015;79646178
Turkiye;2010;73195345
Turkiye;2000;64113547
Turkiye;1990;54324142
Turkmenistan;2023;6516100
Turkmenistan;2022;6430770
Turkmenistan;2020;6250438
Turkmenistan;2015;5766431
Turkmenistan;2010;5267970
Turkmenistan;2000;4569132
Turkmenistan;1990;3720278
Turks and Caicos Islands;2023;46062
Turks and Caicos Islands;2022;45703
Turks and Caicos Islands;2020;44276
Turks and Caicos Islands;2015;36538
Turks and Caicos Islands;2010;29726
Turks and Caicos Islands;2000;18744
Turks and Caicos Islands;1990;11709
Tuvalu;2023;11396
Tuvalu;2022;11312
Tuvalu;2020;11069
Tuvalu;2015;10877
Tuvalu;2010;10550
Tuvalu;2000;9638
Tuvalu;1990;9182
Uganda;2023;48582334
Uganda;2022;47249585
Uganda;2020;44404611
Uganda;2015;37477356
Uganda;2010;32341728
Uganda;2000;24020697
Uganda;1990;17586630
Ukraine;2023;36744634
Ukraine;2022;39701739
Ukraine;2020;43909666
Ukraine;2015;44982564
Ukraine;2010;45683020
Ukraine;2000;48879755
Ukraine;1990;51589817
United Arab Emirates;2023;9516871
United Arab Emirates;2022;9441129
United Arab Emirates;2020;9287289
United Arab Emirates;2015;8916899
United Arab Emirates;2010;8481771
United Arab Emirates;2000;3275333
United Arab Emirates;1990;1900151
United Kingdom;2023;67736802
United Kingdom;2022;67508936
United Kingdom;2020;67059474
United Kingdom;2015;65224364
United Kingdom;2010;62760039
United Kingdom;2000;58850043
United Kingdom;1990;57210442
United States;2023;339996563
United States;2022;338289857
United States;2020;335942003
United States;2015;324607776
United States;2010;311182845
United States;2000;282398554
United States;1990;248083732
Virgin Islands;2023;98750
Virgin Islands;2022;99465
Virgin Islands;2020;100442
Virgin Islands;2015;102803
Virgin Islands;2010;106142
Virgin Islands;2000;108185
Virgin Islands;1990;100685
Uruguay;2023;3423108
Uruguay;2022;3422794
Uruguay;2020;3429086
Uruguay;2015;3402818
Uruguay;2010;3352651
Uruguay;2000;3292224
Uruguay;1990;3117012
Uzbekistan;2023;35163944
Uzbekistan;2022;34627652
Uzbekistan;2020;33526656
Uzbekistan;2015;30949417
Uzbekistan;2010;28614227
Uzbekistan;2000;24925554
Uzbekistan;1990;20579100
Vanuatu;2023;334506
Vanuatu;2022;326740
Vanuatu;2020;311685
Vanuatu;2015;276438
Vanuatu;2010;245453
Vanuatu;2000;192074
Vanuatu;1990;150882
Vatican City;2023;518
Vatican City;2022;510
Vatican City;2020;520
Vatican City;2015;564
Vatican City;2010;596
Vatican City;2000;651
Vatican City;1990;700
Venezuela;2023;28838499
Venezuela;2022;28301696
Venezuela;2020;28490453
Venezuela;2015;30529716
Venezuela;2010;28715022
Venezuela;2000;24427729
Venezuela;1990;19750579
Vietnam;2023;98858950
Vietnam;2022;98186856
Vietnam;2020;96648685
Vietnam;2015;92191398
Vietnam;2010;87411012
Vietnam;2000;79001142
Vietnam;1990;66912613
Wallis and Futuna;2023;11502
Wallis and Futuna;2022;11572
Wallis and Futuna;2020;11655
Wallis and Futuna;2015;12182
Wallis and Futuna;2010;13142
Wallis and Futuna;2000;14723
Wallis and Futuna;1990;13454
Western Sahara;2023;587259
Western Sahara;2022;575986
Western Sahara;2020;556048
Western Sahara;2015;491824
Western Sahara;2010;413296
Western Sahara;2000;270375
Western Sahara;1990;178529
Yemen;2023;34449825
Yemen;2022;33696614
Yemen;2020;32284046
Yemen;2015;28516545
Yemen;2010;24743946
Yemen;2000;18628700
Yemen;1990;13375121
Zambia;2023;20569737
Zambia;2022;20017675
Zambia;2020;18927715
Zambia;2015;16248230
Zambia;2010;13792086
Zambia;2000;9891136
Zambia;1990;7686401
Zimbabwe;2023;16665409
Zimbabwe;2022;16320537
Zimbabwe;2020;15669666
Zimbabwe;2015;14154937
Zimbabwe;2010;12839771
Zimbabwe;2000;11834676
Zimbabwe;1990;10113893
